Date,CustomerId,ProductId,Quantity,Rating
1/1/2021,C925,P117,5,3
1/1/2021,C847,P35,4,5
1/1/2021,C399,P8,5,3
1/1/2021,C1231,P53,6,3
1/1/2021,C369,P44,8,4
1/1/2021,C1390,P38,3,4
1/1/2021,C980,P67,9,1
1/1/2021,C1184,P13,6,2
1/1/2021,C442,P76,5,5
1/1/2021,C34,P5,9,3
1/1/2021,C160,P51,7,
1/1/2021,C795,P90,9,2
1/1/2021,C1064,P47,7,5
1/1/2021,C890,P64,4,2
1/1/2021,C1003,P32,4,4
1/1/2021,C85,P72,5,
1/1/2021,C223,P116,3,4
1/1/2021,C189,P59,3,5
1/1/2021,C165,P29,2,5
1/1/2021,C1062,P15,3,3
1/1/2021,C1486,P44,2,
1/1/2021,C297,P8,6,5
1/1/2021,C58,P69,4,4
1/1/2021,C166,P63,7,
1/1/2021,C841,P19,9,3
1/1/2021,C725,P22,9,2
1/1/2021,C403,P33,9,1
1/1/2021,C133,P66,4,1
1/1/2021,C1200,P59,9,4
1/1/2021,C737,P42,9,3
1/1/2021,C558,P108,9,1
1/1/2021,C643,P81,7,5
1/1/2021,C1082,P75,5,
1/1/2021,C748,P55,4,1
1/1/2021,C193,P38,5,
1/1/2021,C909,P109,7,2
1/1/2021,C496,P53,3,3
1/1/2021,C1001,P100,8,1
1/1/2021,C809,P32,5,3
1/1/2021,C1057,P100,2,4
1/1/2021,C946,P3,4,4
1/1/2021,C813,P63,8,2
1/1/2021,C267,P107,7,3
1/1/2021,C155,P3,8,5
1/1/2021,C617,P112,7,5
1/1/2021,C1282,P47,2,2
1/1/2021,C972,P118,7,4
1/1/2021,C1498,P20,1,4
1/1/2021,C1445,P19,8,5
1/1/2021,C395,P82,9,2
1/1/2021,C134,P5,4,1
1/1/2021,C1346,P93,7,3
1/1/2021,C933,P95,9,2
1/1/2021,C1083,P12,7,
1/1/2021,C578,P87,2,1
1/1/2021,C436,P30,1,5
1/1/2021,C1214,P24,1,5
1/1/2021,C70,P77,6,5
1/1/2021,C933,P77,6,5
1/1/2021,C781,P38,8,3
1/1/2021,C1445,P33,1,
1/1/2021,C1056,P76,4,2
1/1/2021,C319,P66,7,2
1/1/2021,C81,P42,9,5
1/1/2021,C849,P111,9,3
1/1/2021,C1331,P49,1,5
1/1/2021,C650,P56,9,5
1/1/2021,C111,P5,1,1
1/1/2021,C874,P34,1,5
1/1/2021,C539,P48,8,4
1/1/2021,C1353,P108,7,4
1/1/2021,C1220,P81,5,3
1/1/2021,C1348,P39,4,4
1/1/2021,C347,P103,6,2
1/1/2021,C903,P64,7,1
1/1/2021,C259,P79,5,
1/1/2021,C1485,P43,8,2
1/1/2021,C534,P48,2,2
1/1/2021,C1363,P71,9,2
1/1/2021,C314,P88,4,2
1/1/2021,C474,P116,6,2
1/1/2021,C1257,P4,8,5
1/1/2021,C230,P108,4,1
1/1/2021,C330,P52,7,5
1/1/2021,C343,P77,8,4
1/1/2021,C239,P22,4,2
1/1/2021,C1342,P43,3,3
1/1/2021,C525,P76,8,3
1/1/2021,C394,P108,5,2
1/1/2021,C169,P118,7,3
1/1/2021,C1158,P19,7,3
1/1/2021,C669,P97,4,5
1/1/2021,C1193,P103,2,1
1/1/2021,C1376,P55,9,4
1/1/2021,C682,P53,6,1
1/1/2021,C577,P24,9,2
1/1/2021,C1479,P5,8,4
1/1/2021,C418,P24,4,4
1/1/2021,C265,P99,3,5
1/1/2021,C75,P55,2,4
1/1/2021,C709,P15,9,4
1/1/2021,C1457,P85,4,4
1/1/2021,C104,P60,7,3
1/1/2021,C200,P70,8,4
1/1/2021,C1321,P88,6,5
1/1/2021,C1218,P109,6,4
1/1/2021,C377,P76,5,2
1/1/2021,C1413,P55,4,5
1/1/2021,C773,P45,3,1
1/1/2021,C267,P77,8,4
1/1/2021,C1222,P5,8,1
1/1/2021,C579,P97,6,2
1/1/2021,C418,P74,5,1
1/1/2021,C939,P43,8,3
1/1/2021,C1391,P60,6,3
1/1/2021,C718,P70,8,3
1/1/2021,C1132,P76,7,2
1/1/2021,C536,P7,6,2
1/1/2021,C1435,P86,1,4
1/1/2021,C1137,P61,3,1
1/1/2021,C462,P116,7,2
1/1/2021,C635,P9,5,2
1/1/2021,C170,P27,8,2
1/1/2021,C1414,P13,1,
1/1/2021,C83,P87,8,3
1/1/2021,C1021,P112,5,1
1/1/2021,C894,P49,2,3
1/1/2021,C1387,P26,3,5
1/1/2021,C1304,P112,5,2
1/1/2021,C846,P47,4,3
1/1/2021,C176,P30,1,1
1/1/2021,C535,P59,9,1
1/1/2021,C71,P42,9,5
1/1/2021,C523,P4,3,1
1/1/2021,C1328,P15,3,5
1/1/2021,C1277,P26,6,3
1/1/2021,C1292,P79,9,1
1/1/2021,C982,P41,1,2
1/1/2021,C52,P43,6,2
1/1/2021,C1348,P83,6,2
1/1/2021,C1004,P51,3,5
1/1/2021,C94,P107,5,1
1/1/2021,C1372,P6,3,3
1/1/2021,C1068,P1,6,1
1/1/2021,C1244,P73,1,2
1/1/2021,C1010,P103,5,5
1/1/2021,C412,P105,5,4
1/1/2021,C1061,P61,6,4
1/1/2021,C1008,P111,2,2
1/1/2021,C325,P21,3,1
1/1/2021,C699,P36,7,1
1/1/2021,C218,P82,5,3
1/1/2021,C420,P82,7,5
1/1/2021,C371,P93,4,5
1/1/2021,C684,P56,5,4
1/1/2021,C1201,P46,2,5
1/1/2021,C917,P97,4,2
1/1/2021,C1475,P72,8,4
1/1/2021,C1114,P78,1,4
1/1/2021,C620,P31,4,1
1/1/2021,C1194,P96,4,4
1/1/2021,C335,P110,1,5
1/1/2021,C1123,P24,1,2
1/1/2021,C425,P104,3,
1/1/2021,C650,P112,5,3
1/1/2021,C915,P17,6,3
1/1/2021,C432,P91,4,4
1/1/2021,C437,P20,6,1
1/1/2021,C1441,P66,7,
1/1/2021,C1033,P6,5,3
1/1/2021,C1027,P111,7,5
1/1/2021,C240,P75,7,3
1/1/2021,C195,P71,5,1
1/1/2021,C1050,P10,2,5
1/1/2021,C391,P85,5,2
1/1/2021,C800,P6,1,2
1/1/2021,C1039,P65,4,
1/1/2021,C433,P102,3,2
1/1/2021,C313,P31,5,1
1/1/2021,C115,P66,9,
1/1/2021,C1470,P81,6,
1/1/2021,C1129,P59,9,2
1/1/2021,C455,P72,8,4
1/1/2021,C184,P54,6,4
1/1/2021,C533,P100,2,
1/1/2021,C549,P101,5,3
1/1/2021,C518,P9,1,4
1/1/2021,C42,P57,6,5
1/1/2021,C937,P87,8,4
1/1/2021,C515,P99,1,
1/1/2021,C473,P63,8,4
1/1/2021,C854,P68,4,1
1/1/2021,C352,P19,7,4
1/1/2021,C640,P34,7,4
1/1/2021,C4,P17,6,4
1/1/2021,C306,P82,6,2
1/1/2021,C1094,P7,3,2
1/1/2021,C852,P30,5,2
1/1/2021,C1090,P118,5,4
1/1/2021,C1092,P61,9,2
1/1/2021,C1008,P70,9,4
1/1/2021,C730,P98,6,2
1/1/2021,C452,P68,4,1
1/1/2021,C1198,P48,9,1
1/1/2021,C229,P74,4,3
1/1/2021,C1404,P55,3,3
1/1/2021,C479,P41,9,2
1/1/2021,C410,P41,2,1
1/1/2021,C1193,P55,9,2
1/2/2021,C68,P26,9,5
1/2/2021,C129,P20,8,3
1/2/2021,C482,P12,7,2
1/2/2021,C382,P29,7,1
1/2/2021,C1304,P88,8,
1/2/2021,C347,P111,5,5
1/2/2021,C201,P64,1,4
1/2/2021,C433,P68,2,2
1/2/2021,C1353,P1,6,2
1/2/2021,C1265,P55,7,2
1/2/2021,C1474,P104,9,4
1/2/2021,C607,P49,1,2
1/2/2021,C503,P90,6,3
1/2/2021,C903,P2,5,4
1/2/2021,C1438,P81,7,4
1/2/2021,C1080,P115,9,5
1/2/2021,C433,P97,4,3
1/2/2021,C63,P108,5,4
1/2/2021,C752,P86,3,2
1/2/2021,C1224,P114,7,5
1/2/2021,C1026,P4,6,3
1/2/2021,C202,P109,7,1
1/2/2021,C197,P79,7,2
1/2/2021,C888,P21,1,3
1/2/2021,C788,P55,6,2
1/2/2021,C79,P38,8,4
1/2/2021,C471,P87,3,2
1/2/2021,C1115,P65,8,1
1/2/2021,C1455,P58,6,
1/2/2021,C1001,P96,1,4
1/2/2021,C1442,P11,7,4
1/2/2021,C1075,P22,8,5
1/2/2021,C882,P4,7,5
1/2/2021,C1045,P1,7,1
1/2/2021,C82,P105,8,4
1/2/2021,C1319,P47,2,1
1/2/2021,C1061,P71,7,
1/2/2021,C721,P19,9,3
1/2/2021,C176,P22,6,4
1/2/2021,C1166,P101,6,3
1/2/2021,C1187,P49,7,3
1/2/2021,C1140,P27,5,5
1/2/2021,C1480,P101,3,5
1/2/2021,C1319,P106,9,3
1/2/2021,C1025,P16,9,4
1/2/2021,C433,P53,6,4
1/2/2021,C672,P102,2,3
1/2/2021,C554,P101,6,5
1/2/2021,C379,P60,4,5
1/2/2021,C1108,P85,2,2
1/2/2021,C413,P108,6,5
1/2/2021,C342,P116,5,4
1/2/2021,C162,P77,2,2
1/2/2021,C63,P89,4,
1/2/2021,C349,P117,1,4
1/2/2021,C271,P95,7,5
1/2/2021,C1482,P7,7,3
1/2/2021,C1158,P91,2,2
1/2/2021,C757,P86,6,
1/2/2021,C272,P108,4,1
1/2/2021,C686,P102,3,1
1/2/2021,C1002,P27,3,
1/2/2021,C535,P95,8,4
1/2/2021,C944,P70,7,2
1/2/2021,C856,P99,1,5
1/2/2021,C126,P108,1,5
1/2/2021,C1047,P86,7,5
1/2/2021,C1246,P13,9,1
1/2/2021,C1110,P40,5,3
1/2/2021,C993,P83,8,3
1/2/2021,C1422,P61,8,5
1/2/2021,C27,P68,3,1
1/2/2021,C19,P69,5,3
1/2/2021,C1118,P43,2,1
